trial,test_acc,val_acc,val_acc_per_epoch,test_acc_per_epoch,lr,dropout_tm1,optimizer,weight_decay,batch_size,dropout_tm2
0,0.8569,0.861,"[0.8591, 0.8566, 0.8578, 0.86, 0.861, 0.8578, 0.8602, 0.8588, 0.8581, 0.8583]","[0.8583, 0.8534, 0.8526, 0.8583, 0.8564, 0.8561, 0.8566, 0.8569, 0.8577, 0.8569]",0.0034765049219178845,0.36635694339217517,SGD,0.00010397398921688487,32,0.45809637382481616
1,0.8587,0.8654,"[0.7966, 0.8281, 0.8364, 0.8485, 0.8456, 0.8546, 0.8558, 0.8597, 0.8607, 0.8631, 0.859, 0.8638, 0.8654, 0.8654, 0.8627, 0.8617, 0.8632, 0.8601]","[0.791, 0.8272, 0.8354, 0.8453, 0.8459, 0.8548, 0.8568, 0.8607, 0.8606, 0.8612, 0.8579, 0.8656, 0.8644, 0.8626, 0.863, 0.8624, 0.8613, 0.8587]",0.002863799116156007,0.38621257603803405,AdamW,6.761525390723036e-05,32,0.3132755653506721
2,0.8608,0.8647,"[0.8627, 0.8631, 0.8641, 0.8639, 0.8635, 0.8629, 0.8647, 0.8645, 0.8643, 0.8634, 0.8626, 0.8638]","[0.8614, 0.8599, 0.8617, 0.8611, 0.8609, 0.8594, 0.8615, 0.8616, 0.8611, 0.8611, 0.8612, 0.8608]",0.000197439354820577,0.23696651367035002,SGD,0.0003233977319405036,32,0.15856700380542363
30,0.8639,0.8659,"[0.8636, 0.8632, 0.8647, 0.8643, 0.8659, 0.8642, 0.8654, 0.8655, 0.8635, 0.8655]","[0.8606, 0.8611, 0.8632, 0.8615, 0.8637, 0.8611, 0.8623, 0.8614, 0.8619, 0.8639]",0.00016120697026052852,0.4028497566610507,SGD,4.7454381168318876e-05,32,0.23276158288817633
35,0.8623,0.8661,"[0.8616, 0.8633, 0.8651, 0.8653, 0.8661, 0.8654, 0.8644, 0.865, 0.8653, 0.8654]","[0.8614, 0.8601, 0.8615, 0.8625, 0.8616, 0.8615, 0.8611, 0.8618, 0.8626, 0.8623]",0.00014025046030651192,0.402268608304694,SGD,4.665193413135826e-05,64,0.22719788176401684
41,0.8619,0.8656,"[0.8623, 0.8638, 0.8642, 0.8646, 0.8653, 0.8648, 0.8641, 0.8656, 0.8641, 0.8645, 0.8647, 0.8647, 0.8646]","[0.8603, 0.8605, 0.8606, 0.8623, 0.8621, 0.8629, 0.8615, 0.8619, 0.8621, 0.8625, 0.8624, 0.8643, 0.8619]",0.00018170472058951444,0.43455168259885285,SGD,4.920329924491853e-05,64,0.32673262996426233
43,0.8616,0.8663,"[0.8636, 0.8658, 0.8663, 0.8651, 0.8661, 0.8656, 0.8658, 0.8659]","[0.8619, 0.8632, 0.8632, 0.8629, 0.8629, 0.8626, 0.8615, 0.8616]",0.00026050764245624276,0.46554795908634,SGD,1.4722604422610846e-05,64,0.3049711959493405
44,0.8639,0.8659,"[0.8627, 0.8641, 0.8649, 0.8649, 0.8654, 0.8652, 0.8657, 0.8649, 0.8646, 0.8637, 0.8659, 0.8646, 0.8645, 0.8632, 0.8648, 0.8654]","[0.8612, 0.8608, 0.8628, 0.862, 0.863, 0.8619, 0.8617, 0.8629, 0.8626, 0.8617, 0.8639, 0.8621, 0.8625, 0.862, 0.8634, 0.8639]",0.0003087751254175343,0.4299257802310188,SGD,1.602577956806823e-05,64,0.2904709895160157
45,0.8625,0.8656,"[0.8633, 0.8641, 0.8643, 0.8656, 0.8656, 0.8654, 0.8651, 0.8648, 0.8652]","[0.8611, 0.8622, 0.8621, 0.8633, 0.8637, 0.8629, 0.8629, 0.8637, 0.8625]",0.0002837331680831776,0.4743760078973762,SGD,1.409260400474803e-05,64,0.3158601716741396
51,0.8626,0.866,"[0.8636, 0.8648, 0.8644, 0.865, 0.8657, 0.866, 0.8639, 0.8657, 0.8649, 0.8652, 0.8655]","[0.8618, 0.8626, 0.8611, 0.8622, 0.8637, 0.8632, 0.8623, 0.8624, 0.8627, 0.8625, 0.8626]",0.00027648963220909187,0.47434335237022174,SGD,1.593697374520771e-05,64,0.30661241720156085
52,0.8632,0.8661,"[0.8621, 0.8643, 0.8646, 0.8652, 0.8661, 0.8655, 0.866, 0.8643, 0.8654, 0.8651]","[0.8616, 0.8614, 0.8612, 0.8625, 0.8628, 0.8621, 0.8627, 0.8619, 0.8628, 0.8632]",0.00018049726016783807,0.4992529749817636,SGD,1.7021128425082863e-05,64,0.2988503810041541
59,0.8631,0.8658,"[0.8625, 0.8648, 0.8647, 0.8649, 0.8657, 0.8653, 0.8657, 0.8647, 0.8649, 0.8639, 0.8653, 0.8658, 0.8657, 0.8655, 0.8645, 0.8651, 0.8645]","[0.8613, 0.8613, 0.8618, 0.8624, 0.8627, 0.863, 0.8622, 0.8629, 0.8617, 0.8609, 0.862, 0.8632, 0.8626, 0.8628, 0.8625, 0.8626, 0.8631]",0.00022279048077520554,0.4579849441583684,SGD,2.9111549086199787e-05,64,0.28307785356675236
