trial,test_acc,val_acc,val_acc_per_epoch,test_acc_per_epoch,lr,dropout,optimizer,weight_decay,batch_size,hidden_dim,num_blocks,layers_per_block,base_channels,use_skip,num_layers
0,0.3611,0.3624,"[0.3624, 0.3624, 0.3624, 0.3624, 0.3616, 0.3616]","[0.3611, 0.3611, 0.3611, 0.3611, 0.3611, 0.3611]",0.0003207073307109887,0.2276502166926481,SGD,0.0001606039083990199,32,256,4,3,16,False,2
1,0.8374,0.8433,"[0.8079, 0.8211, 0.8309, 0.8361, 0.8384, 0.8422, 0.8414, 0.8433, 0.8423, 0.8411, 0.84, 0.8394, 0.8397]","[0.8002, 0.8156, 0.8264, 0.8299, 0.8363, 0.8359, 0.8383, 0.8391, 0.8392, 0.834, 0.8374, 0.8349, 0.8374]",0.0009468516601614454,0.17930048402331988,AdamW,7.304653752435896e-05,32,256,1,1,32,True,3
6,0.8604,0.862,"[0.8312, 0.8423, 0.8448, 0.848, 0.8516, 0.8562, 0.8585, 0.8547, 0.8529, 0.8599, 0.8596, 0.8609, 0.8598, 0.8598, 0.8575, 0.862, 0.8615, 0.8594, 0.8599, 0.8574, 0.8581]","[0.8282, 0.8377, 0.8457, 0.852, 0.853, 0.854, 0.8585, 0.8515, 0.8468, 0.8596, 0.8588, 0.8606, 0.8608, 0.8618, 0.8553, 0.8626, 0.8599, 0.8554, 0.8596, 0.8556, 0.8604]",0.001580758671696845,0.39862335868635,AdamW,1.0909453668154936e-05,128,64,4,2,16,False,3
19,0.8622,0.8698,"[0.8375, 0.8518, 0.8582, 0.8658, 0.867, 0.8686, 0.8663, 0.8698, 0.8692, 0.8682, 0.867, 0.8628, 0.8649]","[0.8342, 0.8526, 0.8572, 0.8652, 0.8652, 0.8686, 0.8659, 0.8664, 0.8681, 0.8688, 0.8655, 0.8611, 0.8622]",0.000297906877674518,0.16123456678218115,AdamW,9.119468687678832e-05,64,128,3,2,64,False,2
20,0.8622,0.8708,"[0.8377, 0.8549, 0.8568, 0.8645, 0.8616, 0.8664, 0.868, 0.8708, 0.8677, 0.8675, 0.8689, 0.8636, 0.8673]","[0.8341, 0.8532, 0.862, 0.8667, 0.8629, 0.8661, 0.8686, 0.8678, 0.8628, 0.8643, 0.8641, 0.8611, 0.8622]",0.00021587791381411176,0.30885633449232014,AdamW,0.00011253452871276383,64,128,4,2,64,False,2
22,0.861,0.869,"[0.8367, 0.8541, 0.8603, 0.8643, 0.8625, 0.8646, 0.8658, 0.869, 0.8672, 0.8663, 0.8644, 0.8646, 0.8633]","[0.8342, 0.857, 0.8609, 0.8651, 0.8652, 0.8672, 0.8673, 0.8647, 0.8661, 0.8628, 0.8643, 0.8609, 0.861]",0.00020766103774271506,0.41463361074667693,AdamW,0.0003104116705985015,64,128,4,2,64,False,2
23,0.8622,0.87,"[0.8337, 0.853, 0.8585, 0.8629, 0.8646, 0.8696, 0.8673, 0.87, 0.8691, 0.8673, 0.8679, 0.8657, 0.865]","[0.8318, 0.8514, 0.8572, 0.8607, 0.8619, 0.8642, 0.8645, 0.866, 0.8626, 0.8639, 0.8628, 0.8605, 0.8622]",0.00018336115672426784,0.319321975247583,AdamW,0.00031339955695094544,64,128,3,2,64,False,2
25,0.8595,0.8716,"[0.8361, 0.8514, 0.8554, 0.8662, 0.8696, 0.8716, 0.8693, 0.8704, 0.8687, 0.8666, 0.8631]","[0.8353, 0.8538, 0.8561, 0.8667, 0.8689, 0.8698, 0.8683, 0.8663, 0.8667, 0.8644, 0.8595]",0.00037922162463188816,0.3294213588824899,AdamW,0.00010599822578461286,64,128,3,2,64,False,2
30,0.8595,0.8709,"[0.8383, 0.854, 0.8641, 0.8688, 0.8693, 0.866, 0.8659, 0.8678, 0.8709, 0.8692, 0.8679, 0.8666, 0.8631, 0.8585]","[0.8393, 0.8545, 0.8627, 0.8636, 0.8683, 0.8631, 0.8658, 0.8648, 0.8661, 0.8662, 0.8611, 0.863, 0.8606, 0.8595]",0.00040141790466764467,0.1988655513985563,AdamW,0.00018987104016448107,64,128,4,2,64,False,2
31,0.8591,0.8707,"[0.8354, 0.8581, 0.8611, 0.8653, 0.8671, 0.8672, 0.8679, 0.868, 0.8707, 0.8684, 0.8677, 0.8626, 0.8659, 0.8633]","[0.8375, 0.855, 0.8598, 0.8658, 0.8652, 0.8688, 0.8692, 0.8675, 0.8688, 0.8681, 0.8663, 0.8626, 0.8611, 0.8591]",0.000360518122001059,0.20686725594546246,AdamW,0.00018151678966614907,64,128,4,2,64,False,2
